Rank,Title,Year,Geek_Rating,Avg_Rating,Num_Voters,URL
582,Quadropolis,2016,6.934,7.21,13531,https://boardgamegeek.com/boardgame/176396/quadropolis
583,A Few Acres of Snow,2011,6.932,7.37,8122,https://boardgamegeek.com/boardgame/79828/a-few-acres-of-snow
584,Citadels,2000,6.930,7.05,57112,https://boardgamegeek.com/boardgame/478/citadels
585,Splendor: Marvel,2020,6.929,7.56,6329,https://boardgamegeek.com/boardgame/293296/splendor-marvel
586,Friday,2011,6.928,7.11,23124,https://boardgamegeek.com/boardgame/43570/friday
587,Middara: Unintentional Malum – Act 1,2019,6.928,8.50,2821,https://boardgamegeek.com/boardgame/169427/middara-unintentional-malum-act-1
588,Mystic Vale,2016,6.928,7.23,12655,https://boardgamegeek.com/boardgame/194607/mystic-vale
589,Aeon Trespass: Odyssey,2022,6.928,8.99,2717,https://boardgamegeek.com/boardgame/242705/aeon-trespass-odyssey
590,Pipeline,2019,6.928,7.54,5598,https://boardgamegeek.com/boardgame/256730/pipeline
591,Shadows over Camelot,2005,6.926,7.10,28489,https://boardgamegeek.com/boardgame/15062/shadows-over-camelot
592,Nemesis: Retaliation,2025,6.926,8.71,2520,https://boardgamegeek.com/boardgame/381248/nemesis-retaliation
593,Canvas,2021,6.924,7.19,16167,https://boardgamegeek.com/boardgame/290236/canvas
594,Potion Explosion,2015,6.923,7.12,21916,https://boardgamegeek.com/boardgame/180974/potion-explosion
595,Agent Avenue,2024,6.923,7.53,5877,https://boardgamegeek.com/boardgame/422732/agent-avenue
596,Lords of Vegas,2010,6.922,7.36,8121,https://boardgamegeek.com/boardgame/20437/lords-of-vegas
597,Hanabi,2010,6.921,7.03,52388,https://boardgamegeek.com/boardgame/98778/hanabi
598,Imperial Settlers: Empires of the North,2019,6.919,7.38,8003,https://boardgamegeek.com/boardgame/270844/imperial-settlers-empires-of-the-north
599,Point Salad,2019,6.917,7.09,23159,https://boardgamegeek.com/boardgame/274960/point-salad
600,Amun-Re,2003,6.915,7.28,9591,https://boardgamegeek.com/boardgame/5404/amun-re
601,EXIT: The Game – Dead Man on the Orient Express,2017,6.914,7.53,5585,https://boardgamegeek.com/boardgame/226522/exit-the-game-dead-man-on-the-orient-express
602,Forbidden Desert,2013,6.912,7.06,32806,https://boardgamegeek.com/boardgame/136063/forbidden-desert
603,Stuffed Fables,2018,6.911,7.40,8232,https://boardgamegeek.com/boardgame/233312/stuffed-fables
604,Amerigo,2013,6.910,7.43,6452,https://boardgamegeek.com/boardgame/137408/amerigo
605,Deus,2014,6.910,7.26,9762,https://boardgamegeek.com/boardgame/162082/deus
606,Unfathomable,2021,6.910,7.46,7191,https://boardgamegeek.com/boardgame/340466/unfathomable
607,BattleLore,2006,6.909,7.35,9449,https://boardgamegeek.com/boardgame/25417/battlelore
608,Junk Art,2016,6.909,7.35,8254,https://boardgamegeek.com/boardgame/193042/junk-art
609,Thurn and Taxis,2006,6.909,7.09,20854,https://boardgamegeek.com/boardgame/21790/thurn-and-taxis
610,Sheriff of Nottingham,2014,6.908,7.05,37855,https://boardgamegeek.com/boardgame/157969/sheriff-of-nottingham
611,Alhambra,2003,6.907,7.04,35570,https://boardgamegeek.com/boardgame/6249/alhambra
612,Pandemic: The Cure,2014,6.907,7.23,11103,https://boardgamegeek.com/boardgame/150658/pandemic-the-cure
613,Betrayal Legacy,2018,6.906,7.65,5369,https://boardgamegeek.com/boardgame/240196/betrayal-legacy
614,Mansions of Madness,2011,6.905,7.25,14017,https://boardgamegeek.com/boardgame/83330/mansions-of-madness
615,QE,2019,6.905,7.33,7817,https://boardgamegeek.com/boardgame/266830/qe
616,Catan,1995,6.904,7.09,141776,https://boardgamegeek.com/boardgame/13/catan
617,Lacrimosa,2022,6.903,7.62,4968,https://boardgamegeek.com/boardgame/348450/lacrimosa
618,Imhotep,2016,6.898,7.12,16830,https://boardgamegeek.com/boardgame/191862/imhotep
619,Descent: Journeys in the Dark,2005,6.897,7.27,11883,https://boardgamegeek.com/boardgame/17226/descent-journeys-in-the-dark
620,Las Vegas,2012,6.895,7.18,12384,https://boardgamegeek.com/boardgame/117959/las-vegas
621,Galaxy Trucker (Second Edition),2021,6.895,7.41,6795,https://boardgamegeek.com/boardgame/336794/galaxy-trucker-second-edition
622,Risk Legacy,2011,6.895,7.35,8876,https://boardgamegeek.com/boardgame/105134/risk-legacy
623,Dinosaur Island: Rawr 'n Write,2021,6.894,7.66,4590,https://boardgamegeek.com/boardgame/318009/dinosaur-island-rawr-n-write
